Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls   s/call   s/call  name    
 81.10      2.66     2.66  4200000     0.00     0.00  df_tokenise
  3.96      2.79     0.13  4200006     0.00     0.00  df_readascii
  3.81      2.92     0.13  4200000     0.00     0.00  store2d_point
  2.29      2.99     0.08        6     0.01     0.54  get_data
  1.83      3.05     0.06 37800000     0.00     0.00  check_missing
  1.22      3.09     0.04  4200006     0.00     0.00  df_gets
  1.22      3.13     0.04  1400042     0.00     0.00  execute_at
  0.61      3.15     0.02  4200006     0.00     0.00  df_readline
  0.61      3.17     0.02  2800000     0.00     0.00  pop_or_convert_from_string
  0.61      3.19     0.02        6     0.00     0.01  plot_lines
  0.30      3.20     0.01  4200006     0.00     0.00  check_for_variable_color
  0.30      3.21     0.01  2800052     0.00     0.00  Gcomplex
  0.30      3.22     0.01  1400042     0.00     0.00  evaluate_at
  0.30      3.23     0.01  1400000     0.00     0.00  f_div
  0.30      3.24     0.01  1400000     0.00     0.00  f_dollars
  0.30      3.25     0.01   600050     0.00     0.00  SVG_vector
  0.30      3.26     0.01   600025     0.00     0.00  map_y
  0.30      3.27     0.01   600023     0.00     0.00  map_x
  0.30      3.28     0.01                             fpe
  0.00      3.28     0.00  4200042     0.00     0.00  pop
  0.00      3.28     0.00  4200042     0.00     0.00  push
  0.00      3.28     0.00  1400042     0.00     0.00  check_stack
  0.00      3.28     0.00  1400042     0.00     0.00  reset_stack
  0.00      3.28     0.00  1400036     0.00     0.00  f_pushc
  0.00      3.28     0.00  1400022     0.00     0.00  real
  0.00      3.28     0.00   102361     0.00     0.00  SVG_AddSpaceOrNewline
  0.00      3.28     0.00     1954     0.00     0.00  equals
  0.00      3.28     0.00     1217     0.00     0.00  almost_equals
  0.00      3.28     0.00      227     0.00     0.00  gp_strdup
  0.00      3.28     0.00      222     0.00     0.00  gp_alloc
  0.00      3.28     0.00      167     0.00     0.00  add_udv_by_name
  0.00      3.28     0.00      120     0.00     0.00  SVG_Pen_RealID
  0.00      3.28     0.00      118     0.00     0.00  SVG_GroupFilledClose
  0.00      3.28     0.00      103     0.00     0.00  ENHsvg_writec
  0.00      3.28     0.00       90     0.00     0.00  isletter
  0.00      3.28     0.00       85     0.00     0.00  gpfree_string
  0.00      3.28     0.00       83     0.00     0.00  gp_realloc
  0.00      3.28     0.00       71     0.00     0.00  SVG_PathClose
  0.00      3.28     0.00       66     0.00     0.00  cp_extend
  0.00      3.28     0.00       56     0.00     0.00  fill_gpval_string
  0.00      3.28     0.00       56     0.00     0.00  parse_esc
  0.00      3.28     0.00       55     0.00     0.00  ENHsvg_OPEN
  0.00      3.28     0.00       54     0.00     0.00  df_parse_string_field
  0.00      3.28     0.00       48     0.00     0.00  add_action
  0.00      3.28     0.00       48     0.00     0.00  ignore_enhanced
  0.00      3.28     0.00       48     0.00     0.00  parse_primary_expression
  0.00      3.28     0.00       48     0.00     0.00  parse_unary_expression
  0.00      3.28     0.00       47     0.00     0.00  free_at
  0.00      3.28     0.00       46     0.00     0.00  accept_AND_expression
  0.00      3.28     0.00       46     0.00     0.00  accept_additive_expression
  0.00      3.28     0.00       46     0.00     0.00  accept_bitshift_expression
  0.00      3.28     0.00       46     0.00     0.00  accept_equality_expression
  0.00      3.28     0.00       46     0.00     0.00  accept_exclusive_OR_expression
  0.00      3.28     0.00       46     0.00     0.00  accept_inclusive_OR_expression
  0.00      3.28     0.00       46     0.00     0.00  accept_logical_AND_expression
  0.00      3.28     0.00       46     0.00     0.00  accept_logical_OR_expression
  0.00      3.28     0.00       46     0.00     0.00  accept_multiplicative_expression
  0.00      3.28     0.00       46     0.00     0.00  accept_relational_expression
  0.00      3.28     0.00       46     0.00     0.00  isanumber
  0.00      3.28     0.00       46     0.00     0.00  parse_AND_expression
  0.00      3.28     0.00       46     0.00     0.00  parse_additive_expression
  0.00      3.28     0.00       46     0.00     0.00  parse_assignment_expression
  0.00      3.28     0.00       46     0.00     0.00  parse_bitshift_expression
  0.00      3.28     0.00       46     0.00     0.00  parse_conditional_expression
  0.00      3.28     0.00       46     0.00     0.00  parse_equality_expression
  0.00      3.28     0.00       46     0.00     0.00  parse_exclusive_OR_expression
  0.00      3.28     0.00       46     0.00     0.00  parse_expression
  0.00      3.28     0.00       46     0.00     0.00  parse_inclusive_OR_expression
  0.00      3.28     0.00       46     0.00     0.00  parse_logical_AND_expression
  0.00      3.28     0.00       46     0.00     0.00  parse_logical_OR_expression
  0.00      3.28     0.00       46     0.00     0.00  parse_multiplicative_expression
  0.00      3.28     0.00       46     0.00     0.00  parse_relational_expression
  0.00      3.28     0.00       45     0.00     0.00  SVG_GroupClose
  0.00      3.28     0.00       44     0.00     0.00  temp_at
  0.00      3.28     0.00       39     0.00     0.00  axis_name
